,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
884,80.41,9.0,6.1,6.55,6.7,7.23,83.0,11.2,8.18,7.0,1.064638783269962,0.6,1.18,1.96,0.98,1.2,0.0,0.8,1.24,0.0,2.62,0.2,0.31,2.71,0.38,0.09,0.44,0.0,2.44,0.0,0.98,B1,2
885,70.94,10.3,7.6,8.35,8.9,8.06,138.0,12.0,9.42,9.0,1.3163361661945232,1.1481481481481481,1.33,2.22,1.11,0.76,0.0,0.65,1.96,0.02,3.81,0.44,0.57,1.52,1.0,0.81,0.07,0.02,2.22,0.0,1.0,B1,2
886,70.94,9.4,7.6,9.16,9.2,7.86,44.0,7.0,9.21,8.0,1.2774390243902438,2.0,1.22,2.0,0.89,1.11,0.0,0.33,1.72,0.0,3.28,0.56,0.78,1.22,2.0,0.0,0.33,0.0,1.83,0.0,0.94,B1,2
887,69.01,9.8,8.4,8.7,9.6,6.96,16.0,14.0,9.73,10.0,1.0120481927710843,1.375,1.0,2.25,0.62,1.88,0.0,0.5,1.88,0.12,3.5,0.5,0.25,2.25,1.62,0.0,1.0,0.0,2.25,0.25,0.88,B1,2
888,84.27,8.2,4.6,6.31,5.2,6.65,11.0,6.125,6.39,6.0,0.9838709677419355,0.4444444444444444,0.89,1.78,1.56,0.78,0.0,0.22,0.56,0.11,1.44,0.0,0.67,2.44,0.56,0.0,0.0,0.0,1.89,0.0,0.89,B1,2
889,71.44,11.1,7.4,8.23,8.3,7.78,44.0,8.142857142857142,9.35,8.0,1.2738461538461539,1.5,1.44,1.89,0.83,1.0,0.0,0.83,2.17,0.0,3.68,0.44,0.56,1.11,0.89,0.22,0.11,0.0,1.67,0.0,1.0,B1,2
890,78.79,9.1,6.7,7.36,8.1,8.19,77.0,11.4,8.99,9.0,1.399650959860384,1.3333333333333333,0.87,2.07,1.03,0.9,0.0,0.47,1.67,0.0,3.5,0.5,0.5,2.17,1.4,0.0,0.4,0.13,2.5,0.0,1.0,B1,2
891,72.66,10.3,7.0,8.29,7.6,8.06,41.0,10.5,8.79,8.0,1.2070063694267517,2.1052631578947367,0.89,2.16,0.53,0.74,0.0,0.42,1.95,0.0,2.84,0.58,0.37,0.79,2.26,0.0,0.37,0.0,1.68,0.0,0.95,B1,2
892,72.16,9.8,7.2,8.06,7.8,8.32,42.0,8.333333333333334,8.9,8.0,1.3549488054607508,2.3529411764705883,1.35,2.24,0.65,1.06,0.0,0.47,1.59,0.0,2.74,0.65,0.06,0.88,2.71,0.12,0.29,0.0,1.06,0.0,1.0,B1,2
893,91.31,6.8,4.0,5.91,5.1,7.09,23.0,4.4,6.44,7.0,1.0464285714285715,1.4210526315789473,0.26,1.47,0.42,0.53,0.0,0.58,0.79,0.0,4.58,1.11,0.0,1.84,0.32,0.0,0.21,0.0,1.68,0.0,0.95,B1,2
